PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,PARROQUIA_ESTADO
1,AZUAY,260,CUENCA,285,BANOS,RURAL
1,AZUAY,260,CUENCA,730,CUMBE,RURAL
1,AZUAY,260,CUENCA,845,CHAUCHA/ANGAS,RURAL
1,AZUAY,260,CUENCA,860,CHECA JIDCAY,RURAL
1,AZUAY,260,CUENCA,905,CHIQUINTAD,RURAL
1,AZUAY,260,CUENCA,2255,LLACAO,RURAL
1,AZUAY,260,CUENCA,2430,MOLLETURO,RURAL
1,AZUAY,260,CUENCA,2570,MULTI NULTI,RURAL
1,AZUAY,260,CUENCA,2595,OCTAVIO CORDERO P.,RURAL
1,AZUAY,260,CUENCA,2680,PACCHA,RURAL
1,AZUAY,260,CUENCA,3105,QUINGEO,RURAL
1,AZUAY,260,CUENCA,3165,RICAURTE,RURAL
1,AZUAY,260,CUENCA,3460,SAN JOAQUIN,RURAL
1,AZUAY,260,CUENCA,3685,SANTA ANA,RURAL
1,AZUAY,260,CUENCA,3795,SAYAUSI,RURAL
1,AZUAY,260,CUENCA,3850,SIDCAY,RURAL
1,AZUAY,260,CUENCA,3870,SININCAY,RURAL
1,AZUAY,260,CUENCA,3980,TARQUI,RURAL
1,AZUAY,260,CUENCA,4095,TURI,RURAL
1,AZUAY,260,CUENCA,4200,VALLE,RURAL
1,AZUAY,260,CUENCA,4225,VICTORIA DEL PORT.,RURAL
1,AZUAY,260,CUENCA,5075,BELLAVISTA,URBANA
1,AZUAY,260,CUENCA,5080,CANARIBAMBA,URBANA
1,AZUAY,260,CUENCA,5135,EL BATAN,URBANA
1,AZUAY,260,CUENCA,5140,MACHANGARA,URBANA
1,AZUAY,260,CUENCA,5290,MONAY,URBANA
1,AZUAY,260,CUENCA,5330,EL VECINO,URBANA
1,AZUAY,260,CUENCA,5360,TOTORACOCHA,URBANA
1,AZUAY,260,CUENCA,5370,YANUNCAY,URBANA
1,AZUAY,260,CUENCA,5450,HUAYNACAPAC,URBANA
1,AZUAY,260,CUENCA,5875,RAMIREZ DAVALOS,URBANA
1,AZUAY,260,CUENCA,5905,SAGRARIO,URBANA
1,AZUAY,260,CUENCA,5930,SAN BLAS,URBANA
1,AZUAY,260,CUENCA,6010,SAN SEBASTIAN,URBANA
1,AZUAY,260,CUENCA,6090,SUCRE,URBANA
1,AZUAY,260,CUENCA,6865,HERMANO MIGUEL,URBANA
1,AZUAY,265,GUALACEO,1005,DANIEL CORDOVA T.,RURAL
1,AZUAY,265,GUALACEO,1760,LUIS CORDERO VEGA,RURAL
1,AZUAY,265,GUALACEO,1805,JADAN,RURAL
1,AZUAY,265,GUALACEO,2385,MARIANO MORENO/CAL,RURAL
1,AZUAY,265,GUALACEO,3160,REMIGIO CRESPO T.,RURAL
1,AZUAY,265,GUALACEO,3505,SAN JUAN,RURAL
1,AZUAY,265,GUALACEO,4340,ZHIDMAD,RURAL
1,AZUAY,265,GUALACEO,5420,GUALACEO,URBANA
1,AZUAY,270,GIRON,175,ASUNCION,RURAL
1,AZUAY,270,GIRON,885,SAN GERARDO,RURAL
1,AZUAY,270,GIRON,5395,GIRON,URBANA
1,AZUAY,275,PAUTE,395,BULAN/JV.IZQUIERDO,RURAL
1,AZUAY,275,PAUTE,870,CHICAN / G.ORTEGA,RURAL
1,AZUAY,275,PAUTE,890,DUG-DUG,RURAL
1,AZUAY,275,PAUTE,1455,GUARAINAC,RURAL
