DIGNIDAD_CODIGO,PROVINCIA_CODIGO,CANTON_CODIGO,PARROQUIA_CODIGO,SEXO,NUMERO_DE_JUNTAS,VOTOS_EN_BLANCO,VOTOS_NULOS,OP_CODIGO,CANDIDATO_CODIGO,CANDIDATO_VOTOS,CANDIDATO_ESTADO
1,1,260,285,1,30,25,321,202,1000000000002,2424,1
1,1,260,285,1,30,25,321,7,1000000000004,494, 
1,1,260,285,2,31,54,373,202,1000000000002,3099,1
1,1,260,285,2,31,54,373,7,1000000000004,660, 
1,1,260,730,1,11,11,81,202,1000000000002,873,1
1,1,260,730,1,11,11,81,7,1000000000004,157, 
1,1,260,730,2,12,9,154,202,1000000000002,1202,1
1,1,260,730,2,12,9,154,7,1000000000004,242, 
1,1,260,845,1,3,1,30,202,1000000000002,229,1
1,1,260,845,1,3,1,30,7,1000000000004,29, 
1,1,260,845,2,3,9,67,202,1000000000002,203,1
1,1,260,845,2,3,9,67,7,1000000000004,28, 
1,1,260,860,1,9,0,32,202,1000000000002,336,1
1,1,260,860,1,9,0,32,7,1000000000004,55, 
1,1,260,860,2,8,12,95,202,1000000000002,624,1
1,1,260,860,2,8,12,95,7,1000000000004,73, 
1,1,260,905,1,10,6,66,202,1000000000002,555,1
1,1,260,905,1,10,6,66,7,1000000000004,88, 
1,1,260,905,2,10,9,110,202,1000000000002,927,1
1,1,260,905,2,10,9,110,7,1000000000004,114, 
1,1,260,2255,1,6,4,53,202,1000000000002,539,1
1,1,260,2255,1,6,4,53,7,1000000000004,109, 
1,1,260,2255,2,6,13,93,202,1000000000002,643,1
1,1,260,2255,2,6,13,93,7,1000000000004,127, 
1,1,260,2430,1,9,6,68,202,1000000000002,1065,1
1,1,260,2430,1,9,6,68,7,1000000000004,152, 
1,1,260,2430,2,8,24,94,202,1000000000002,956,1
1,1,260,2430,2,8,24,94,7,1000000000004,142, 
1,1,260,2570,1,7,2,80,202,1000000000002,638,1
1,1,260,2570,1,7,2,80,7,1000000000004,137, 
1,1,260,2570,2,7,10,92,202,1000000000002,705,1
1,1,260,2570,2,7,10,92,7,1000000000004,196, 
1,1,260,2595,1,7,3,39,202,1000000000002,286,1
1,1,260,2595,1,7,3,39,7,1000000000004,47, 
1,1,260,2595,2,7,10,82,202,1000000000002,494,1
1,1,260,2595,2,7,10,82,7,1000000000004,88, 
1,1,260,2680,1,7,5,46,202,1000000000002,641,1
1,1,260,2680,1,7,5,46,7,1000000000004,115, 
1,1,260,2680,2,8,20,118,202,1000000000002,857,1
1,1,260,2680,2,8,20,118,7,1000000000004,159, 
1,1,260,3105,1,9,15,120,202,1000000000002,825,1
1,1,260,3105,1,9,15,120,7,1000000000004,159, 
1,1,260,3105,2,10,49,207,202,1000000000002,859,1
1,1,260,3105,2,10,49,207,7,1000000000004,242, 
1,1,260,3165,1,22,10,221,202,1000000000002,2063,1
1,1,260,3165,1,22,10,221,7,1000000000004,369, 
1,1,260,3165,2,23,56,321,202,1000000000002,2622,1
1,1,260,3165,2,23,56,321,7,1000000000004,450, 
1,1,260,3460,1,11,5,110,202,1000000000002,955,1
1,1,260,3460,1,11,5,110,7,1000000000004,206, 
1,1,260,3460,2,12,11,151,202,1000000000002,1221,1
1,1,260,3460,2,12,11,151,7,1000000000004,235, 
1,1,260,3685,1,9,8,89,202,1000000000002,648,1
1,1,260,3685,1,9,8,89,7,1000000000004,130, 
1,1,260,3685,2,9,40,205,202,1000000000002,895,1
1,1,260,3685,2,9,40,205,7,1000000000004,191, 
1,1,260,3795,1,14,12,180,202,1000000000002,1334,1
1,1,260,3795,1,14,12,180,7,1000000000004,247, 
1,1,260,3795,2,15,37,266,202,1000000000002,1644,1
1,1,260,3795,2,15,37,266,7,1000000000004,266, 
1,1,260,3850,1,8,3,35,202,1000000000002,490,1
1,1,260,3850,1,8,3,35,7,1000000000004,78, 
1,1,260,3850,2,9,16,123,202,1000000000002,829,1
1,1,260,3850,2,9,16,123,7,1000000000004,130, 
1,1,260,3870,1,18,11,145,202,1000000000002,1295,1
1,1,260,3870,1,18,11,145,7,1000000000004,208, 
1,1,260,3870,2,19,46,208,202,1000000000002,1992,1
1,1,260,3870,2,19,46,208,7,1000000000004,338, 
1,1,260,3980,1,15,12,178,202,1000000000002,1188,1
1,1,260,3980,1,15,12,178,7,1000000000004,195, 
1,1,260,3980,2,15,56,261,202,1000000000002,1532,1
1,1,260,3980,2,15,56,261,7,1000000000004,279, 
1,1,260,4095,1,9,8,87,202,1000000000002,733,1
1,1,260,4095,1,9,8,87,7,1000000000004,147, 
1,1,260,4095,2,10,37,195,202,1000000000002,1014,1
1,1,260,4095,2,10,37,195,7,1000000000004,205, 
1,1,260,4200,1,21,31,230,202,1000000000002,1960,1
1,1,260,4200,1,21,31,230,7,1000000000004,370, 
1,1,260,4200,2,23,43,356,202,1000000000002,2546,1
1,1,260,4200,2,23,43,356,7,1000000000004,474, 
1,1,260,4225,1,8,9,85,202,1000000000002,599,1
1,1,260,4225,1,8,9,85,7,1000000000004,116, 
1,1,260,4225,2,9,28,142,202,1000000000002,868,1
1,1,260,4225,2,9,28,142,7,1000000000004,189, 
1,1,260,5075,1,20,17,491,202,1000000000002,1670,1
1,1,260,5075,1,20,17,491,7,1000000000004,691, 
1,1,260,5075,2,23,21,644,202,1000000000002,2031,1
1,1,260,5075,2,23,21,644,7,1000000000004,794, 
1,1,260,5080,1,14,17,342,202,1000000000002,1161,1
1,1,260,5080,1,14,17,342,7,1000000000004,465, 
1,1,260,5080,2,15,11,430,202,1000000000002,1298,1
1,1,260,5080,2,15,11,430,7,1000000000004,534, 
1,1,260,5135,1,10,4,211,202,1000000000002,837,1
1,1,260,5135,1,10,4,211,7,1000000000004,334, 
1,1,260,5135,2,11,10,281,202,1000000000002,965,1
1,1,260,5135,2,11,10,281,7,1000000000004,414, 
1,1,260,5140,1,8,5,107,202,1000000000002,712,1
1,1,260,5140,1,8,5,107,7,1000000000004,185, 
1,1,260,5140,2,9,6,153,202,1000000000002,853,1
1,1,260,5140,2,9,6,153,7,1000000000004,223, 
1,1,260,5290,1,13,6,249,202,1000000000002,1145,1
1,1,260,5290,1,13,6,249,7,1000000000004,356, 
1,1,260,5290,2,14,10,373,202,1000000000002,1341,1
1,1,260,5290,2,14,10,373,7,1000000000004,396, 
1,1,260,5330,1,80,71,1323,202,1000000000002,6513,1
1,1,260,5330,1,80,71,1323,7,1000000000004,2217, 
1,1,260,5330,2,84,60,1592,202,1000000000002,7794,1
1,1,260,5330,2,84,60,1592,7,1000000000004,2524, 
1,1,260,5360,1,27,24,515,202,1000000000002,2434,1
1,1,260,5360,1,27,24,515,7,1000000000004,751, 
1,1,260,5360,2,30,33,704,202,1000000000002,2886,1
1,1,260,5360,2,30,33,704,7,1000000000004,915, 
1,1,260,5370,1,18,15,283,202,1000000000002,1525,1
1,1,260,5370,1,18,15,283,7,1000000000004,543, 
1,1,260,5370,2,20,23,401,202,1000000000002,1981,1
