DIGNIDAD_CODIGO;OP_CODIGO;CANDIDATO_CODIGO;CANDIDATO_ORDEN;CANDIDATO_PROVINCIA_CODIGO;CANDIDATO_CANTON_CODIGO;CANDIDATO_PARROQUIA_CODIGO;CANDIDATO_NOMBRE;CANDIDATO_SEXO;CANDIDATO_EDAD_EXACTA;CANDIDATO_GRUPOS_DE_EDAD;SUPLENTE_NOMBRE.1;SUPLENTE_SEXO.1;SUPLENTE_EDAD_EXACTA.1;SUPLENTE_GRUPOS_DE_EDAD.1;SUPLENTE_NOMBRE.2;SUPLENTE_SEXO.2;SUPLENTE_EDAD_EXACTA.2;SUPLENTE_GRUPOS_DE_EDAD.2
1;201;1000000000001;1;0;0;0;JUEZ ABUCHAKRA IVONNE LEYLA;2;51,6547945205479;3;FRIXONE FRANCO CESAR NICOLAS;1;67,3753424657534;4; ; ; ; 
1;202;1000000000002;1;0;0;0;GUTIERREZ BORBUA LUCIO EDWIN;1;45,5780821917808;3;PALACIO GONZALEZ LUIS ALFREDO;1;63,7424657534247;3; ; ; ; 
1;6;1000000000003;1;0;0;0;NEIRA MENENDEZ ANTONIO XAVIER;1;55,2383561643836;3;PEREZ INTRIAGO  ALVARO PATRICIO ALFREDO;1;66,1939890710382;4; ; ; ; 
1;7;1000000000004;1;0;0;0;NOBOA PONTON ALVARO FERNANDO;1;51,9123287671233;3;CRUZ UTRERAS MARCELO EDUARDO;1;59,3808219178082;3; ; ; ; 
1;10;1000000000005;1;0;0;0;BUCARAM ORTIZ JACOBO;1;55,2109589041096;3;VARGAS PAZZOS FRANK ENRIQUE;1;68,2657534246575;4; ; ; ; 
1;11;1000000000006;1;0;0;0;ALARCON COSTTA  CESAR AUGUSTO;1;48,9232876712329;3;ZAMBRANO ROMERO  UNIVERSI ANTONIO;1;66,672131147541;4; ; ; ; 
1;12;1000000000007;1;0;0;0;BORJA CEVALLOS RODRIGO;1;67,3369863013699;4;GARCIA FABRE EVA;2;49,2164383561644;3; ; ; ; 
1;22;1000000000008;1;0;0;0;VELAZQUEZ HERRERA JACINTO;1;63,2438356164384;3;LARREA ARROYO PATRICIO;1;51,2356164383562;3; ; ; ; 
1;24;1000000000009;1;0;0;0;HURTADO LARREA  OSVALDO;1;63,3178082191781;3;GALLARDO ZAVALA  GLORIA;2;55,6328767123288;3; ; ; ; 
1;28;1000000000010;1;0;0;0;VARGAS GUATATUCA CARLOS ANTONIO;1;43,8849315068493;2;VELA BAJAÑA MODESTO NAPOLEON;1;54,6830601092896;3; ; ; ; 
1;40;1000000000011;1;0;0;0;ROLDOS AGUILERA LEON;1;60,2493150684932;3;PADILLA CHIRIBOGA MARIA DOLORES;2;57,3397260273973;3; ; ; ; 
3;1;3010000000001;1;1;0;0;MARTINEZ LOAIZA CARLOS ENRIQUE;1;48,0575342465753;3;PINOS RODRIGUEZ VICTOR MARCELO;1;39,0630136986301;2; ; ; ; 
3;1;3010000000002;2;1;0;0;MARIN LUNA PABLO ESTEBAN;1;37,1616438356164;2;CARDENAS AVILA GERARDO RAMIRO;1;45,9672131147541;3; ; ; ; 
3;1;3010000000003;3;1;0;0;SOLORZANO SOLIS NARCISA JACQUELINE;2;37,9754098360656;2;MENDIETA RIVERA JUANITA EULALIA;2;27,7424657534247;1; ; ; ; 
3;1;3010000000004;4;1;0;0;CASTAÑEDA TAPIA LIGIA MARLENE;2;30,1284153005464;2;RIVERA FERNANDEZ MARINA ALEXANDRA;2;27,8027397260274;1; ; ; ; 
3;2;3010000000005;1;1;0;0;GOMEZ JARA EFRAIN MARCELO;1;47,9068493150685;3;ORELLANA PRIETO JAIME RUBEN;2;52,2657534246575;3; ; ; ; 
3;2;3010000000006;2;1;0;0;ROSALES AVILA DOLORES MAGDALENA;2;46,6912568306011;3;JIMENEZ BRITO ZOILA ROSA;2;39,558904109589;2; ; ; ; 
3;2;3010000000007;3;1;0;0;MENDEZ CAMPOVERDE JENNY CECILIA;2;26,4426229508197;1;CAMPOVERDE YANES PATRICIA DEL ROCIO;2;36,9506849315068;2; ; ; ; 
3;2;3010000000008;4;1;0;0;SIGUENZA CRESPO CESAR FABIAN;1;35,9232876712329;2;ANZOATEGUI ARIAS LUIS AUGUSTO;1;55,7095890410959;3; ; ; ; 
3;202;3010000000009;1;1;0;0;VELEZ NUÑEZ EDGAR REMIGIO;1;52,8547945205479;3;VASQUEZ IÑIGUEZ LUIS GERARDO;1;57,7150684931507;3; ; ; ; 
3;202;3010000000010;2;1;0;0;GUERRA GONZALEZ EMMA BEATRIZ;2;48,2575342465753;3;MERIZALDE NAVARRO LUZ AMERICA;2;42,5765027322404;2; ; ; ; 
3;202;3010000000011;3;1;0;0;SOLORZANO SOLIS MERCY ESMERALDA;2;42,2650273224044;2;SALAZAR CAMPO CLAUDIA JOHANNA;2;26,0546448087432;1; ; ; ; 
3;202;3010000000012;4;1;0;0;PAÑI SAQUIPAY MANUEL ASUNCION;1;36,9808219178082;2;SANTOS BENITO MATUTE MATUTE;1;29,3753424657534;1; ; ; ; 
3;4;3010000000013;1;1;0;0;JARAMA LARGO JULIO CESAR;1;46,551912568306;3;SEGARRA RUIZ RUBEN DARIO;1;34,0874316939891;2; ; ; ; 
3;4;3010000000014;2;1;0;0;ASTUDILLO LARREA GLADYS BEATRIZ;2;35,1780821917808;2;ARCE ARCE DIANA NARCISA;2;32,6301369863014;2; ; ; ; 
3;4;3010000000015;3;1;0;0;ORELLANA PARRA MARIA ELENA;2;28,8821917808219;1;SARI ARPI JUAN MARIA;1;40,4109589041096;2; ; ; ; 
3;4;3010000000016;4;1;0;0;OCHOA CHAVEZ ELIAS JUVENTINO;1;58,4781420765027;3;VINTIMILLA CORDERO EDGAR ESTUARDO;1;49,0849315068493;3; ; ; ; 
3;5;3010000000017;1;1;0;0;CARDENAS ORDOÑEZ EDGAR LEONARDO;1;55,9917808219178;3;FAJARDO NORITZ JORGE ENRIQUE;1;50,4808743169399;3; ; ; ; 
3;5;3010000000018;2;1;0;0;GALARZA RODAS JOSE MARCELO;1;49,4958904109589;3;CABRERA MEDINA LEONARDO DEIFILIO;1;40,7616438356164;2; ; ; ; 
