DIGNIDAD_CODIGO;OP_CODIGO;CANDIDATO_CODIGO;CANDIDATO_ORDEN;CANDIDATO_PROVINCIA_CODIGO;CANDIDATO_CANTON_CODIGO;CANDIDATO_PARROQUIA_CODIGO;CANDIDATO_NOMBRE;CANDIDATO_SEXO;CANDIDATO_EDAD_EXACTA;CANDIDATO_GRUPOS_DE_EDAD;SUPLENTE_NOMBRE.1;SUPLENTE_SEXO.1;SUPLENTE_EDAD_EXACTA.1;SUPLENTE_GRUPO_DE_EDAD.1;SUPLENTE_NOMBRE.2;SUPLENTE_SEXO.2;SUPLENTE_EDAD_EXACTA.2;SUPLENTE_GRUPO_DE_EDAD.2
5;2001;5027600000001;1;2;760;0;JIMENEZ SUAREZ LAURA ELIZABETH;2;34,2185792349727;2;NARANJO MONTERO SEGUNDO MILTON;1;60,6082191780822;3; ; ; ; 
5;2001;5021750000003;3;2;175;0;GUAMAN BERTHA DEBORA;2;42,813698630137;2;BRITO FIERRO ANGEL GABRIEL;1;55,1095890410959;3; ; ; ; 
5;6;5178960000012;3;17;896;0;FARES FARES MARIURI ELENA;2;37,2493150684932;2;BAQUE FLORES LUIS EFREN;1;43,7369863013699;2; ; ; ; 
3;9002;3090000000106;4;9;0;0;MONAR VELEZ GLADYS VANESSA;2;27,7013698630137;1;CHILA PLASENCIA AURELIO JUSTINO;1;50,3224043715847;3; ; ; ; 
5;5;5094100000021;1;9;410;0;VERA VILLAO ROBERTO MARTIN;1;45,9262295081967;3;GUILLEN VASQUEZ EDISON NICOLAS;1;41,372602739726;2; ; ; ; 
5;1;5095050000005;2;9;505;0;LARA ROMERO HECTOR PABLO;1;50,7322404371585;3;RODRIGUEZ PEREDO RUBEN ERNESTO;1;35,1013698630137;2; ; ; ; 
5;56;5090950000026;2;9;95;0;VILLA VILLALTA MARIA SANTOS;2;45,3616438356164;3;PARRALES RAMOS JORGE WILLIAM;1;35,786301369863;2; ; ; ; 
5;4;5093950000011;2;9;395;0;CADENA MARIDUENA JANET NARCISA;2;47,9315068493151;3;PARRA CADENA VICTOR EMILIO;1;29,0027397260274;1; ; ; ; 
5;17007;5170850000079;1;17;85;0;AGUAVIL CALAZACON WILLIAM PATRICIO;1;35,7808219178082;2;BONE PALACIOS FANNY ELIZABETH;2;44,0219178082192;2; ; ; ; 
5;3;5112900000008;2;11;290;0;QUIZHPE RIVAS EDGAR VINICIO;1;43,5534246575342;2;ZARUMA MORA DARWIN JAVIER;1;27,1397260273973;1; ; ; ; 
3;7;3220000000012;2;22;0;0;RAMOS PROAÑO MARTHA LUCRECIA;2;46,5710382513661;3;AÑAZCO BAQUERO CARLOS DORIAN;1;48,9424657534247;3; ; ; ; 
5;5;5170600000030;2;17;60;0;DEL POZO FIERRO PATRICIO DAVID;1;24,6301369863014;1;ROMERO PAREDES GENARO;1;49,4575342465753;3; ; ; ; 
7;17007;7170000000220;10;17;0;0;SAMANIEGO GAIBOR GLENDA ANGELICA;2;33,4520547945205;2;MARTINEZ BURBANO GUSTAVO NEPTALI;1;45,6493150684932;3; ; ; ; 
5;56;5134500000061;1;13;450;0;TORRES CEDENO KERLLY ANNABEL;2;37;2;ABAD ARTEAGA VERONICA INES;2;29,4465753424658;1; ; ; ; 
5;55;5196600000009;1;19;660;0;CABRERA JAPON GRICELDA ELITA;2;33,4054794520548;2;ABAD CHUQUIMARCA RAFAEL EDUARDO;1;36,7753424657534;2; ; ; ; 
6;55;6196602110010;5;19;660;2110;JIMENEZ GAONA MARTIN RAMON;1;32,6575342465753;2;ABAD CORDERO JOSE MANUEL;1;29,786301369863;1; ; ; ; 
5;11001;5117400000023;2;11;740;0;CUEVA CUEVA DEICY LETICIA;2;25,358904109589;1;ABAD JIMENEZ DEICI DEL CISNE;2;35,7205479452055;2; ; ; ; 
5;56;5113400000027;3;11;340;0;REYES SANCHEZ FAUSTO RIGOBERTO;1;22,4180327868852;1;ABAD JIMENEZ FRANCISCO CAMILO;1;40,0630136986301;2; ; ; ; 
5;5;5113050000007;1;11;305;0;ESPINOZA AGUIRRE GENARO OSWALDO;1;39,572602739726;2;ABAD MUNOZ HUGO DANIEL;1;23,1205479452055;1; ; ; ; 
5;19003;5199800000010;2;19;980;0;GONZALEZ COBOS EDGAR BLADIMIR;1;27,358904109589;1;ABAD SOLANO EDITH VERONICA;2;21,4383561643836;1; ; ; ; 
3;6;3010000000020;4;1;0;0;PADILLA CASTAÑEDA JAZMIN ELIZABETH;2;28,8356164383562;1;ABRIL ABRIL EVA KARINA;2;29,2712328767123;1; ; ; ; 
5;4;5188500000008;2;18;850;0;NUÑEZ ARMENDARIZ JOSE RAUL;1;38,9808219178082;2;ABRIL ESPIN ARNALDO RIGOBERTO;1;47,8657534246575;3; ; ; ; 
5;11;5181350000066;6;18;135;0;MOLINA VILLALVA CARLOS FERNANDO;1;47,0904109589041;3;ABRIL GARCES NELLI BEATRIZ;2;65,6438356164384;4; ; ; ; 
5;6;5012600000033;5;1;260;0;QUITO MATUTE DAISY BEATRIZ;2;22,0382513661202;1;ABRIL GOMEZ ALEXANDRA MAGDALENA;2;28,3150684931507;1; ; ; ; 
5;6;5012600000035;7;1;260;0;ARGUDO ALVARADO DIANA ELIZABETH;2;24,4849315068493;1;ABRIL GOMEZ VIRGINIA MARIA;2;21,2164383561644;1; ; ; ; 
3;5;3090000000027;3;9;0;0;MARTILLO CALDERON KLEBER ROOSEVELT;1;35,8794520547945;2;ABUDEYE PENA JORGE ALBERTO;1;41,7123287671233;2; ; ; ; 
3;6006;3060000000041;2;6;0;0;GUAMAN QUISHPI JOSE;1;55,3452054794521;3;ACAN LLUAY MIGUEL ANGEL;1;34,0218579234973;2; ; ; ; 
5;4;5113450000009;3;11;345;0;VALDIVIESO FRANCY IRLANDA;2;48,2821917808219;3;ACARO GOMEZ NANCY MERY;2;32,958904109589;2; ; ; ; 
5;56;5094300000031;1;9;430;0;MEJIA BAJANA FRANCISCO ARQUIMIDES;1;41,9863387978142;2;ACEBO PATINO LUPER LEANDRO;1;40,7808219178082;2; ; ; ; 
5;8;5208050000011;1;20;805;0;GUSQUI LOPEZ JAIRO ALBERTO;1;24,358904109589;1;ACERO NAULA PABLO SEGUNDO;1;20,1945205479452;1; ; ; ; 
3;48;3220000000002;2;22;0;0;CAICEDO COLON HONORATO;1;65,7452054794521;4;ACERO TINGO BLANCA RUBY;2;39,2164383561644;2; ; ; ; 
5;11;5170600000083;6;17;60;0;PALACIOS DAVILA DIANA ELIZABETH;2;40,6;2;ACEVEDO VARGAS ROSA BEATRIZ;2;58,4071038251366;3; ; ; ; 
3;1003;3010000000053;1;1;0;0;ARCENTALES PERALTA XAVIER ROLANDO;1;31,7150684931507;2;ACHIG RIVADENEIRA FABRICIO RENATO;1;35,5232876712329;2; ; ; ; 
5;4;5134600000009;3;13;460;0;DELGADO ALVAREZ SENIA VERONICA;2;28,7671232876712;1;ACOSTA ALARCON HERBER HERNAN;1;50,6502732240437;3; ; ; ; 
5;12001;5125150000050;5;12;515;0;RIVERA CHERNES CARMEN GALUD;2;37,5561643835616;2;ACOSTA ALAVA HILDA FELICITA;2;46,986301369863;3; ; ; ; 
