DIGNIDAD_CODIGO,OP_CODIGO,CANDIDATO_CODIGO,CANDIDATO_ORDEN,CANDIDATO_PROVINCIA_CODIGO,CANDIDATO_CIRCUNSCRIPCION_CODIGO,CANDIDATO_CANTON_CODIGO,CANDIDATO_PARROQUIA_CODIGO,CANDIDATO_NOMBRE,CANDIDATO_SEXO,CANDIDATO_EDAD_EXACTA,CANDIDATO_GRUPOS_DE_EDAD,SUPLENTE_NOMBRE.1,SUPLENTE_SEXO.1,SUPLENTE_EDAD_EXACTA.1,SUPLENTE_GRUPOS_DE_EDAD.1,SUPLENTE_NOMBRE.2,SUPLENTE_SEXO.2,SUPLENTE_EDAD_EXACTA.2,SUPLENTE_GRUPOS_DE_EDAD.2
1,9,1000001,1,0,0,0,0,NOBOA PONTON ALVARO FERNANDO,1,62.24109589041095,3,AZIN ARCE ANNABELLA EMMA,2,52.73698630136986,3,, , , 
1,3,1000002,1,0,0,0,0,CORREA DELGADO RAFAEL VICENTE,1,49.86849315068493,3,GLAS ESPINEL JORGE DAVID,1,44.446575342465756,2,, , , 
1,12,1000003,1,0,0,0,0,WRAY REYES NORMAN STEF,1,43.16164383561644,2,MENDOZA CASTRO ANGELA ROSA,2,38.72054794520548,2,, , , 
1,7,1000004,1,0,0,0,0,ACOSTA ESPINOSA ALBERTO JOSE,1,64.57686204057191,3,CAICEDO CAICEDO MARCIA ELENA,2,38.635616438356166,2,, , , 
1,4,1000005,1,0,0,0,0,GUTIERREZ BORBUA LUCIO EDWIN,1,55.90684931506849,3,BOYES FULLER PEARL ANN,1,43.50958904109589,2,, , , 
1,8,1000006,1,0,0,0,0,LASSO MENDOZA GUILLERMO ALBERTO SANTIAGO,1,57.25479452054794,3,SOLINES MORENO JUAN CARLOS,1,45.69166105247399,3,, , , 
1,1,1000007,1,0,0,0,0,ZAVALA AVELLAN NELSON MARTIN,1,53.01639344262295,3,CEVALLOS CAPURRO DENNY MARELY,2,62.673972602739724,3,, , , 
1,13,1000008,1,0,0,0,0,RODAS ESPINEL MAURICIO ESTEBAN,1,37.843835616438355,2,MANZANO DIAZ INES MARIA,2,42.88219178082192,2,, , , 
7,8,7010001,1,1,0,0,0,CEVALLOS MUÑOZ ANA LUCIA,2,47.602739726027394,3,ANDRADE AVILA JULIO ANDRE,1,33.71898345684557,2,, , , 
7,8,7010002,2,1,0,0,0,CRESPO AMPUDIA CARLOS MARIO,1,42.13698630136986,2,CUESTA ORELLANA MARIA DE LOURDES,2,37.38565012351224,2,, , , 
7,8,7010003,3,1,0,0,0,AGUILAR DIAZ SILVIA PATRICIA,2,41.14794520547945,2,PANDI CAJAMARCA JUAN BAUTISTA,1,43.227397260273975,2,, , , 
