DIGNIDAD_CODIGO;OP_CODIGO;CANDIDATO_CODIGO;CANDIDATO_ORDEN;CANDIDATO_PROVINCIA_CODIGO;CANDIDATO_CIRCUNSCRIPCION_CODIGO;CANDIDATO_CANTON_CODIGO;CANDIDATO_PARROQUIA_CODIGO;CANDIDATO_NOMBRE;CANDIDATO_SEXO;CANDIDATO_EDAD_EXACTA;CANDIDATO_GRUPOS_DE_EDAD;SUPLENTE_NOMBRE.1;SUPLENTE_SEXO.1;SUPLENTE_EDAD_EXACTA.1;SUPLENTE_GRUPOS_DE_EDAD.1;SUPLENTE_NOMBRE.2;SUPLENTE_SEXO.2;SUPLENTE_EDAD_EXACTA.2;SUPLENTE_GRUPOS_DE_EDAD.2
1;9;1000001;1;0;0;0;0;NOBOA PONTON ALVARO FERNANDO;1;62,241095890411;3;AZIN ARCE ANNABELLA EMMA;2;52,7369863013699;3; ; ; ; 
1;3;1000002;1;0;0;0;0;CORREA DELGADO RAFAEL VICENTE;1;49,8684931506849;3;GLAS ESPINEL JORGE DAVID;1;44,4465753424658;2; ; ; ; 
1;12;1000003;1;0;0;0;0;WRAY REYES NORMAN STEF;1;43,1616438356164;2;MENDOZA CASTRO ANGELA ROSA;2;38,7205479452055;2; ; ; ; 
1;7;1000004;1;0;0;0;0;ACOSTA ESPINOSA ALBERTO JOSE;1;64,5768620405719;3;CAICEDO CAICEDO MARCIA ELENA;2;38,6356164383562;2; ; ; ; 
1;4;1000005;1;0;0;0;0;GUTIERREZ BORBUA LUCIO EDWIN;1;55,9068493150685;3;BOYES FULLER PEARL ANN;1;43,5095890410959;2; ; ; ; 
1;8;1000006;1;0;0;0;0;LASSO MENDOZA GUILLERMO ALBERTO SANTIAGO;1;57,2547945205479;3;SOLINES MORENO JUAN CARLOS;1;45,691661052474;3; ; ; ; 
1;1;1000007;1;0;0;0;0;ZAVALA AVELLAN NELSON MARTIN;1;53,0163934426229;3;CEVALLOS CAPURRO DENNY MARELY;2;62,6739726027397;3; ; ; ; 
1;13;1000008;1;0;0;0;0;RODAS ESPINEL MAURICIO ESTEBAN;1;37,8438356164384;2;MANZANO DIAZ INES MARIA;2;42,8821917808219;2; ; ; ; 
7;8;7010001;1;1;0;0;0;CEVALLOS MUÑOZ ANA LUCIA;2;47,6027397260274;3;ANDRADE AVILA JULIO ANDRE;1;33,7189834568456;2; ; ; ; 
7;8;7010002;2;1;0;0;0;CRESPO AMPUDIA CARLOS MARIO;1;42,1369863013699;2;CUESTA ORELLANA MARIA DE LOURDES;2;37,3856501235122;2; ; ; ; 
7;8;7010003;3;1;0;0;0;AGUILAR DIAZ SILVIA PATRICIA;2;41,1479452054795;2;PANDI CAJAMARCA JUAN BAUTISTA;1;43,227397260274;2; ; ; ; 
7;8;7010004;4;1;0;0;0;LOYOLA DONOSO GUILLERMO JOSE;1;55,2575342465753;3;LOPEZ CASTILLO MARIANA DE JESUS;2;58,8219178082192;3; ; ; ; 
7;8;7010005;5;1;0;0;0;ALBA CRESPO CARLA CRISTINA;2;28,6397035706265;1;SAMANIEGO PROCEL VICTOR MIGUEL;1;54,841095890411;3; ; ; ; 
7;3;7010006;1;1;0;0;0;ALVARADO CARRION ROSANA;2;35,9945205479452;2;CABRERA FAJARDO SEGUNDO CESAR;1;58,6630136986301;3; ; ; ; 
7;3;7010007;2;1;0;0;0;LARRIVA ALVARADO OSCAR OSWALDO;1;66,5945205479452;4;JAIGUA ALVARADO CELIA MARIA;2;51,5945205479452;3; ; ; ; 
7;3;7010008;3;1;0;0;0;MUÑOZ VICUÑA MARIANGEL;2;30,4438356164384;2;ORDOÑEZ ALMEIDA FAUSTO EFRAIN;1;43,3123287671233;2; ; ; ; 
7;3;7010009;4;1;0;0;0;VINTIMILLA JARRIN DIEGO ARMANDO;1;23,8849315068493;1;PONCE RUBIO ELVIA AZUCENA;2;40,3095890410959;2; ; ; ; 
7;3;7010010;5;1;0;0;0;GUZMAN OCHOA LILIANA MAURA;2;36,647900291938;2;RODAS MARCA CARLOS EDUARDO;1;31,572602739726;2; ; ; ; 
7;4;7010011;1;1;0;0;0;AGUIRRE CORDERO ESTUARDO FERNANDO;1;44,2845123137959;2;MENDEZ SANMARTIN SILVIA SUSANA;2;23,772602739726;1; ; ; ; 
7;4;7010012;2;1;0;0;0;ROMERO ALVARRACIN AIDA MARIA;2;37,5835616438356;2;AUQUILLA FAJARDO FREDDY PATRICIO;1;31,8602739726027;2; ; ; ; 
7;4;7010013;3;1;0;0;0;GODOY HERNAN DE JESUS;1;52,2462609476757;3;VASQUEZ CABRERA KARLA ALEXANDRA;2;27,4191780821918;1; ; ; ; 
7;4;7010014;4;1;0;0;0;SALAZAR CEDILLO DOLORES ELIZABETH;2;38,7013698630137;2;PLAZA TIPAN JUAN VICENTE;1;32,1287671232877;2; ; ; ; 
7;4;7010015;5;1;0;0;0;ALVAREZ ORTIZ HERNAN PATRICIO;1;49,5369863013699;3;BERMEO CABRERA ROSA GERARDINA;2;55,1671232876712;3; ; ; ; 
7;12;7010016;1;1;0;0;0;ABRIL MOGROVEJO FELIPE ADRIANO;1;39,1013698630137;2;RODAS BACULIMA SILVIA ALEJANDRA;2;32,841095890411;2; ; ; ; 
7;12;7010017;2;1;0;0;0;MALQUIN MAURA ANDREA ESTEFANIA;2;23,6328767123288;1;CORNEJO NARVAEZ FABIAN GEOVANNY;1;25,7463058612172;1; ; ; ; 
7;12;7010018;3;1;0;0;0;ANDRADE OCHOA DIEGO ESTEBAN;1;52,8391571225391;3;GALARZA QUIROZ ROSA ELENA;2;25,8228085934576;1; ; ; ; 
7;12;7010019;4;1;0;0;0;MACHADO SALAMEA MARIA DOLORES;2;32,9566434613369;2;GUILLERMO PENAFIEL JULIO MARCELO;1;57,9020435661352;3; ; ; ; 
7;12;7010020;5;1;0;0;0;FARFAN FLORES HORLANDO ARTURO;1;41,5917808219178;2;ANTELO BRAVO MARIA ANGELICA;2;45,9320982109439;3; ; ; ; 
7;1001;7010021;1;1;0;0;0;ASTUDILLO ROMERO CESAR JAIME;1;59,6794520547945;3;VINTIMILLA PALACIOS ELIZABETH BEATRIZ;2;53,2463058612172;3; ; ; ; 
7;1001;7010022;2;1;0;0;0;ORDOÑEZ ESCUDERO MARIA DE LOURDES;2;32,6397035706265;2;TENESACA CALLE FABIAN PATRICIO;1;39,9123287671233;2; ; ; ; 
7;1001;7010023;3;1;0;0;0;CAMACHO PAUTA PEDRO FELIPE;1;48,9785013848342;3;AUQUILLA ORELLANA VERONICA ALEXANDRA;2;27,9534246575342;1; ; ; ; 
7;1001;7010024;4;1;0;0;0;BERMEO MEJIA JENNY ALEXANDRA;2;29,6328767123288;1;ESCANDON TIBILLIN CARLOS ARMANDO;1;47,9424657534247;3; ; ; ; 
7;1001;7010025;5;1;0;0;0;TORRES CHAMORRO MARLON ALBERTO;1;27,8794520547945;1;OCHOA ORTIZ GISSELLA ALEXANDRA;2;22,5232876712329;1; ; ; ; 
7;1;7010026;1;1;0;0;0;RAMOS BARRIOS GIANCARLO PAOLO;1;34,4602739726027;2;LITARDO BUENANO ANNY ELIZABETH;2;35,372602739726;2; ; ; ; 
