DIGNIDAD_CODIGO;PROVINCIA_CODIGO;CANTON_CODIGO;PARROQUIA_CODIGO;SEXO;NUMERO_DE_ACTAS;VOTOS_EN_BLANCO;VOTOS_NULOS;OP_CODIGO;CANDIDATO_CODIGO;CANDIDATO_VOTOS;CANDIDATO_ESTADO
1;1;556;6875;2;10;31;171;5;1000000000004;584; 
1;1;556;6875;1;12;25;170;5;1000000000004;672; 
1;1;915;6435;2;12;61;330;5;1000000000004;419; 
1;1;915;6435;1;11;22;192;5;1000000000004;377; 
1;1;915;1535;2;1;5;29;5;1000000000004;18; 
1;1;915;1535;1;1;4;14;5;1000000000004;18; 
1;1;915;1585;2;1;11;44;5;1000000000004;13; 
1;1;915;1585;1;1;5;23;5;1000000000004;9; 
1;1;915;2950;2;2;6;25;5;1000000000004;25; 
1;1;915;2950;1;1;3;20;5;1000000000004;23; 
1;1;915;1575;2;1;2;15;5;1000000000004;13; 
1;1;915;1575;1;1;1;7;5;1000000000004;15; 
1;1;260;285;2;25;82;567;5;1000000000004;991; 
1;1;260;285;1;25;34;406;5;1000000000004;1018; 
1;1;260;5075;2;18;20;420;5;1000000000004;901; 
1;1;260;5075;1;17;16;305;5;1000000000004;910; 
1;1;260;5080;2;12;6;290;5;1000000000004;511; 
1;1;260;5080;1;11;6;201;5;1000000000004;528; 
1;1;260;845;2;3;18;64;5;1000000000004;48; 
1;1;260;845;1;3;5;53;5;1000000000004;59; 
1;1;260;860;2;6;35;141;5;1000000000004;109; 
1;1;260;860;1;7;13;62;5;1000000000004;98; 
1;1;260;905;2;7;18;145;5;1000000000004;208; 
1;1;260;905;1;7;9;65;5;1000000000004;190; 
1;1;260;730;2;9;49;214;5;1000000000004;392; 
1;1;260;730;1;8;20;119;5;1000000000004;319; 
1;1;260;5135;2;11;14;211;5;1000000000004;594; 
1;1;260;5135;1;11;8;202;5;1000000000004;610; 
1;1;260;5330;2;62;65;1287;5;1000000000004;3121; 
1;1;260;5330;1;59;48;1007;5;1000000000004;3114; 
1;1;260;6865;2;7;12;189;5;1000000000004;433; 
1;1;260;6865;1;5;4;108;5;1000000000004;375; 
1;1;260;5450;2;24;18;552;5;1000000000004;1195; 
1;1;260;5450;1;22;23;374;5;1000000000004;1233; 
1;1;260;2255;2;5;17;119;5;1000000000004;183; 
1;1;260;2255;1;5;5;83;5;1000000000004;199; 
1;1;260;5140;2;8;15;178;5;1000000000004;406; 
1;1;260;5140;1;7;4;110;5;1000000000004;388; 
1;1;260;2430;2;9;46;287;5;1000000000004;228; 
1;1;260;2430;1;9;36;182;5;1000000000004;282; 
1;1;260;5290;2;12;11;281;5;1000000000004;559; 
1;1;260;5290;1;11;8;204;5;1000000000004;557; 
1;1;260;2570;2;6;16;158;5;1000000000004;243; 
1;1;260;2570;1;5;9;83;5;1000000000004;262; 
1;1;260;2595;2;5;20;124;5;1000000000004;115; 
1;1;260;2595;1;5;9;70;5;1000000000004;96; 
1;1;260;2680;2;6;10;160;5;1000000000004;241; 
1;1;260;2680;1;6;10;88;5;1000000000004;192; 
1;1;260;3105;2;8;72;251;5;1000000000004;305; 
1;1;260;3105;1;7;18;151;5;1000000000004;296; 
1;1;260;5875;2;23;20;415;5;1000000000004;1125; 
1;1;260;5875;1;21;17;330;5;1000000000004;1103; 
1;1;260;3165;2;18;52;437;5;1000000000004;842; 
1;1;260;3165;1;17;33;284;5;1000000000004;859; 
1;1;260;5905;2;37;39;657;5;1000000000004;1662; 
1;1;260;5905;1;37;34;534;5;1000000000004;1799; 
1;1;260;5930;2;42;45;862;5;1000000000004;2033; 
1;1;260;5930;1;38;35;654;5;1000000000004;2061; 
1;1;260;3460;2;10;39;165;5;1000000000004;338; 
1;1;260;3460;1;9;17;137;5;1000000000004;388; 
1;1;260;6010;2;48;59;1030;5;1000000000004;2359; 
1;1;260;6010;1;45;35;833;5;1000000000004;2550; 
1;1;260;3685;2;7;52;271;5;1000000000004;257; 
1;1;260;3685;1;7;21;149;5;1000000000004;293; 
1;1;260;3795;2;12;56;344;5;1000000000004;450; 
1;1;260;3795;1;12;24;248;5;1000000000004;515; 
1;1;260;3850;2;7;36;166;5;1000000000004;206; 
1;1;260;3850;1;6;8;67;5;1000000000004;165; 
1;1;260;3870;2;15;89;319;5;1000000000004;558; 
1;1;260;3870;1;14;22;205;5;1000000000004;480; 
1;1;260;6090;2;37;40;707;5;1000000000004;1886; 
1;1;260;6090;1;33;25;534;5;1000000000004;1767; 
1;1;260;3980;2;12;56;404;5;1000000000004;355; 
1;1;260;3980;1;11;24;274;5;1000000000004;339; 
1;1;260;5360;2;25;24;592;5;1000000000004;1280; 
1;1;260;5360;1;23;23;367;5;1000000000004;1255; 
1;1;260;4095;2;8;50;210;5;1000000000004;268; 
1;1;260;4095;1;7;11;122;5;1000000000004;269; 
1;1;260;4200;2;19;55;435;5;1000000000004;744; 
1;1;260;4200;1;18;46;305;5;1000000000004;697; 
1;1;260;4225;2;7;0;0;5;1000000000004;0; 
1;1;260;4225;1;6;0;0;5;1000000000004;0; 
1;1;260;5370;2;19;27;353;5;1000000000004;894; 
1;1;260;5370;1;17;16;268;5;1000000000004;917; 
1;1;960;6485;2;3;5;55;5;1000000000004;197; 
1;1;960;6485;1;4;3;36;5;1000000000004;171; 
1;1;960;1650;2;2;3;39;5;1000000000004;105; 
1;1;960;1650;1;2;4;16;5;1000000000004;118; 
1;1;270;175;2;4;16;71;5;1000000000004;147; 
1;1;270;175;1;4;12;44;5;1000000000004;165; 
1;1;270;5395;2;19;64;429;5;1000000000004;693; 
1;1;270;5395;1;19;31;203;5;1000000000004;637; 
1;1;270;885;2;1;2;4;5;1000000000004;9; 
1;1;270;885;1;1;1;2;5;1000000000004;13; 
1;1;990;6615;2;5;10;147;5;1000000000004;230; 
1;1;990;6615;1;5;7;96;5;1000000000004;205; 
1;1;265;1005;2;4;27;93;5;1000000000004;75; 
1;1;265;1005;1;4;5;63;5;1000000000004;61; 
1;1;265;5420;2;32;124;1031;5;1000000000004;1208; 
1;1;265;5420;1;32;51;568;5;1000000000004;1039; 
1;1;265;1805;2;5;50;154;5;1000000000004;239; 
1;1;265;1805;1;4;14;91;5;1000000000004;178; 
1;1;265;1760;2;1;2;19;5;1000000000004;19; 
1;1;265;1760;1;1;0;13;5;1000000000004;12; 
1;1;265;2385;2;4;15;97;5;1000000000004;96; 
1;1;265;2385;1;4;5;63;5;1000000000004;50; 
1;1;265;3160;2;2;14;27;5;1000000000004;41; 
1;1;265;3160;1;2;10;25;5;1000000000004;37; 
1;1;265;3505;2;8;96;285;5;1000000000004;174; 
1;1;265;3505;1;6;40;85;5;1000000000004;194; 
1;1;265;4340;2;3;21;96;5;1000000000004;82; 
1;1;265;4340;1;3;18;59;5;1000000000004;85; 
1;1;885;575;2;4;28;107;5;1000000000004;129; 
1;1;885;575;1;4;11;67;5;1000000000004;100; 
1;1;885;1175;2;2;6;50;5;1000000000004;66; 
1;1;885;1175;1;2;3;31;5;1000000000004;92; 
1;1;885;6595;2;14;81;435;5;1000000000004;350; 
1;1;885;6595;1;13;26;232;5;1000000000004;306; 
1;1;885;2550;2;2;14;21;5;1000000000004;45; 
1;1;885;2550;1;3;6;19;5;1000000000004;55; 
1;1;780;6360;2;6;23;114;5;1000000000004;197; 
1;1;780;6360;1;4;14;59;5;1000000000004;180; 
1;1;780;1540;2;1;2;15;5;1000000000004;39; 
1;1;780;1540;1;1;0;12;5;1000000000004;37; 
1;1;275;395;2;2;13;47;5;1000000000004;73; 
1;1;275;395;1;2;2;25;5;1000000000004;76; 
1;1;275;870;2;4;18;81;5;1000000000004;68; 
1;1;275;870;1;4;6;52;5;1000000000004;60; 
1;1;275;890;2;2;14;25;5;1000000000004;50; 
1;1;275;890;1;2;5;33;5;1000000000004;43; 
1;1;275;4565;2;2;8;62;5;1000000000004;32; 
1;1;275;4565;1;2;3;32;5;1000000000004;28; 
1;1;275;1455;2;2;10;38;5;1000000000004;66; 
1;1;275;1455;1;2;4;30;5;1000000000004;62; 
1;1;275;5775;2;21;89;527;5;1000000000004;915; 
1;1;275;5775;1;20;35;339;5;1000000000004;809; 
1;1;275;3375;2;3;21;51;5;1000000000004;99; 
1;1;275;3375;1;3;5;49;5;1000000000004;132; 
1;1;275;4050;2;2;11;70;5;1000000000004;65; 
1;1;275;4050;1;2;5;53;5;1000000000004;60; 
1;1;555;5690;2;14;48;243;5;1000000000004;332; 
1;1;555;5690;1;15;52;190;5;1000000000004;396; 
1;1;555;1690;2;1;2;16;5;1000000000004;31; 
