DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;OP_CODIGO;NUM_PARTIDO;CANDIDATO_CODIGO;CANDIDATO_ORDEN_LISTA;CANDIDATO_NOMBRE;CANDIDATO_SEXO;CANDIDATO_GRUPO_EDAD;CANDIDATO_TERRITORIO_CODIGO;CANDIDATO_TERRITORIO_NOMBRE;CANDIDATO_PROVINCIA_CODIGO;CANDIDATO_PROVINCIA_NOMBRE;CANDIDATO_CIRCUNSCRIPCION_CODIGO_ORIGINAL;CANDIDATO_CIRCUNSCRIPCION_CODIGO;CANDIDATO_CIRCUNSCRIPCION_NOMBRE;SUPLENTE1_NOMBRE;SUPLENTE1_SEXO;SUPLENTE1_GRUPO_EDAD;SUPLENTE2_NOMBRE;SUPLENTE2_SEXO;SUPLENTE2_GRUPO_EDAD
9;9;700;008;1239;7;BERMEO ALVEAR MARCO VINICIO;1;6;1;1;0;0;0;0;0;REYES GARLING BARBARA ELEEN;2;3; ; ; 
7;7;720;001;201;1;LARRIVA ALVARADO OSCAR OSWALDO;1;6;1;1;1;1;0;10;10;CABRERA FAJARDO ELSA PIEDAD;2;3; ; ; 
9;9;620;003;1794;11;MALDONADO AGUIRRE SEGUNDO CESAR;1;6;1;1;0;0;0;0;0;REA ELIZALDE THALIA VANESSA;2;1; ; ; 
7;7;721;010;1405;1;HEREDIA TAPIA ALFONSO;1;6;1;1;1;1;0;10;10;FLORES SARMIENTO MARIA BELEN;2;1; ; ; 
7;7;721;010;1417;4;ORTEGA CAMPOVERDE CONSEPCION AIDA;2;6;1;1;1;1;0;10;10;GARCIA JARAMILLO WILSON NOLBERTO;1;4; ; ; 
7;7;64;082002;1748;3;MORALES ALVAREZ JORGE ENRIQUE SEGUNDO;1;6;1;1;1;1;0;10;10;DURAN DURAN MARIANA DE JESUS;2;3; ; ; 
8;8;740;007;1133;2;CABRERA HERAS BELLA AMERICA;2;5;1;1;0;0;0;0;0;SANCHEZ ORRALA WILLIAMS ASTOLFO;1;2;CAZORLA BERMUDEZ VICTORIA ALEXANDRA;2;3
7;7;64;082002;1753;5;RODAS CALDERON VICENTE PATRICIO;1;5;1;1;1;1;0;10;10;BERMEO MEJIA JENNY ALEXANDRA;2;2; ; ; 
7;7;620;003;1675;5;MUEVECELA QUIROZ JULIO ELIGIO;1;5;1;1;1;1;0;10;10;CHUMBI SIGCHO ISMENIA DE JESUS;2;3; ; ; 
7;7;739;012;1785;2;LEMARIE CAICEDO JANE DEL ROCIO;2;5;2;2;28;28;0;280;280;RUBIO CARRILLO MARIA BELEN;2;1; ; ; 
7;7;737;061;992;4;ARMIJOS SANCHEZ AUREA VIOLETA MARLENE;2;5;1;1;1;1;0;10;10;ARIAS CHUMBI CHRISTIAN MARCELO;1;2; ; ; 
7;7;739;012;401;3;ALVEAR BRITO CESAR AUGUSTO;1;4;1;1;1;1;0;10;10;SERRANO ARIZAGA MARIA GABRIELA;2;2; ; ; 
7;7;620;003;1633;1;PLAZA DELEG HERNAN GERARDO;1;5;1;1;1;1;0;10;10;SANCHEZ ESPINOZA DIANA ELIZABETH;2;1; ; ; 
7;7;614;051;585;3;ILLESCAS FAJARDO TADEO MIGUEL;1;5;1;1;1;1;0;10;10;NARANJO MALDONADO LAURA ROSA;2;3; ; ; 
7;7;721;010;1411;3;CUZCO GUAMAN ANTONIO CONTARDO;1;5;1;1;1;1;0;10;10;JUCA AGUIRRE ERIKA ANDREA;2;1; ; ; 
7;7;42;035017;934;2;SOLIZ CARRION DORIS JOSEFINA;2;4;1;1;1;1;0;10;10;PEÑA BERNAL JOAQUIN ANTONIO;1;2; ; ; 
