DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CIRCUNSCRIPCION_CODIGO_ORIGINAL;CIRCUNSCRIPCION_NOMBRE;CANTON_CODIGO;CANTON_NOMBRE;PARROQUIA_CODIGO;PARROQUIA_NOMBRE;JUNTA_SEXO;CANDIDATO_CODIGO;VOTOS_EN_BLANCO;VOTOS_NULOS;ELECTORES_REGISTRO;ELECTORES_RESULTADOS;SUFRAGANTES;CANDIDATO_VOTOS
1;1;1;1;0;10;260;260;285;285;F;16;82;625;11612;11612;9384;3654
1;1;1;1;0;10;260;260;285;285;F;502;82;625;11612;11612;9384;5023
1;1;1;1;0;10;260;260;285;285;M;16;49;491;11210;11212;8121;3636
1;1;1;1;0;10;260;260;285;285;M;502;49;491;11210;11212;8121;3944
1;1;1;1;0;10;260;260;730;730;F;16;22;177;3230;3230;2591;1225
1;1;1;1;0;10;260;260;730;730;F;502;22;177;3230;3230;2591;1167
1;1;1;1;0;10;260;260;730;730;M;16;8;110;2926;2927;1931;987
1;1;1;1;0;10;260;260;730;730;M;502;8;110;2926;2927;1931;826
1;1;1;1;0;10;260;260;845;845;F;16;14;40;596;596;488;106
1;1;1;1;0;10;260;260;845;845;F;502;14;40;596;596;488;328
1;1;1;1;0;10;260;260;845;845;M;16;17;34;664;664;527;165
1;1;1;1;0;10;260;260;845;845;M;502;17;34;664;664;527;311
1;1;1;1;0;10;260;260;860;860;F;16;20;94;2080;2080;1087;410
1;1;1;1;0;10;260;260;860;860;F;502;20;94;2080;2080;1087;563
1;1;1;1;0;10;260;260;860;860;M;16;2;64;2039;2039;861;376
1;1;1;1;0;10;260;260;860;860;M;502;2;64;2039;2039;861;419
1;1;1;1;0;10;260;260;905;905;F;16;10;136;2587;2587;1687;730
1;1;1;1;0;10;260;260;905;905;F;502;10;136;2587;2587;1687;811
1;1;1;1;0;10;260;260;905;905;M;16;18;91;2538;2538;1395;670
1;1;1;1;0;10;260;260;905;905;M;502;18;91;2538;2538;1395;616
1;1;1;1;0;10;260;260;2255;2255;F;16;17;131;1978;1978;1683;586
1;1;1;1;0;10;260;260;2255;2255;F;502;17;131;1978;1978;1683;949
1;1;1;1;0;10;260;260;2255;2255;M;16;8;94;1812;1812;1423;602
1;1;1;1;0;10;260;260;2255;2255;M;502;8;94;1812;1812;1423;719
1;1;1;1;0;10;260;260;2430;2430;F;16;28;171;3014;3014;2653;935
1;1;1;1;0;10;260;260;2430;2430;F;502;28;171;3014;3014;2653;1519
1;1;1;1;0;10;260;260;2430;2430;M;16;24;164;3085;3088;2535;1055
1;1;1;1;0;10;260;260;2430;2430;M;502;24;164;3085;3088;2535;1292
1;1;1;1;0;10;260;260;2570;2570;F;16;13;126;2297;2297;1950;817
1;1;1;1;0;10;260;260;2570;2570;F;502;13;126;2297;2297;1950;994
